# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myPDF[1] c_myPDF[2] c_myPDF[3]
100000 1000
314 3.135 0 0
315 3.145 0 0
316 3.155 0 0
317 3.165 0 0
318 3.175 0 0
319 3.185 0 0
320 3.195 0 0
321 3.205 0 0
322 3.215 0 0
323 3.225 0 0
324 3.235 0 0
325 3.245 0 0
326 3.255 0 0
327 3.265 0 0
328 3.275 3.7611e-05 1e-06
329 3.285 2.09341e-05 1.56e-06
330 3.295 5.35043e-05 3e-06
331 3.305 0.00010193 5.76e-06
332 3.315 0.000252557 1.264e-05
333 3.325 0.000477267 2.572e-05
334 3.335 0.000686225 4.464e-05
335 3.345 0.00140752 8.368e-05
336 3.355 0.0020342 0.00014044
337 3.365 0.00332462 0.00023376
338 3.375 0.00513379 0.00037872
339 3.385 0.00735248 0.00058756
340 3.395 0.0116743 0.00092112
341 3.405 0.0162766 0.00138892
342 3.415 0.0218944 0.00202188
343 3.425 0.0292978 0.00287384
344 3.435 0.0397616 0.00403684
345 3.445 0.0535148 0.00561124
346 3.455 0.0696281 0.0076716
347 3.465 0.0890154 0.0103209
348 3.475 0.116675 0.0138135
349 3.485 0.147151 0.0182438
350 3.495 0.182949 0.0237835
351 3.505 0.225634 0.0306549
352 3.515 0.269879 0.0389206
353 3.525 0.325377 0.048943
354 3.535 0.38777 0.060955
355 3.545 0.449857 0.0749692
356 3.555 0.530276 0.091582
357 3.565 0.620809 0.111141
358 3.575 0.709107 0.133607
359 3.585 0.810368 0.159425
360 3.595 0.910996 0.188611
361 3.605 1.03388 0.221918
362 3.615 1.14049 0.258865
363 3.625 1.26506 0.300074
364 3.635 1.39297 0.3457
365 3.645 1.51567 0.395618
366 3.655 1.65267 0.450348
367 3.665 1.78679 0.509843
368 3.675 1.92309 0.574227
369 3.685 2.05207 0.643303
370 3.695 2.18467 0.717243
371 3.705 2.31885 0.796149
372 3.715 2.44659 0.879853
373 3.725 2.57135 0.968298
374 3.735 2.69153 1.06138
375 3.745 2.80054 1.15874
376 3.755 2.92352 1.26093
377 3.765 3.01961 1.36703
378 3.775 3.10678 1.47678
379 3.785 3.1981 1.59036
380 3.795 3.28153 1.70752
381 3.805 3.36256 1.8282
382 3.815 3.42477 1.95176
383 3.825 3.49366 2.07847
384 3.835 3.55176 2.20796
385 3.845 3.60446 2.34006
386 3.855 3.63843 2.47409
387 3.865 3.66633 2.60986
388 3.875 3.69774 2.7475
389 3.885 3.70999 2.88631
390 3.895 3.72468 3.02639
391 3.905 3.72503 3.1672
392 3.915 3.72808 3.30884
393 3.925 3.71837 3.45085
394 3.935 3.69937 3.59284
395 3.945 3.68435 3.73498
396 3.955 3.65033 3.87653
397 3.965 3.62856 4.01794
398 3.975 3.60412 4.15911
399 3.985 3.5672 4.29953
400 3.995 3.53731 4.43948
401 4.005 3.49829 4.57858
402 4.015 3.44989 4.71644
403 4.025 3.41004 4.85339
404 4.035 3.3553 4.98881
405 4.045 3.29907 5.12262
406 4.055 3.24618 5.25493
407 4.065 3.19497 5.38581
408 4.075 3.14654 5.51533
409 4.085 3.08774 5.64306
410 4.095 3.04112 5.76948
411 4.105 2.97741 5.89385
412 4.115 2.92112 6.01647
413 4.125 2.87397 6.13769
414 4.135 2.80666 6.25665
415 4.145 2.74613 6.37361
416 4.155 2.68737 6.48862
417 4.165 2.63023 6.60173
418 4.175 2.58222 6.7133
419 4.185 2.51966 6.8227
420 4.195 2.46277 6.93013
421 4.205 2.41336 7.03592
422 4.215 2.35409 7.13959
423 4.225 2.31197 7.2419
424 4.235 2.25604 7.3422
425 4.245 2.2043 7.44067
426 4.255 2.15237 7.53727
427 4.265 2.1004 7.63198
428 4.275 2.05051 7.72488
429 4.285 2.00688 7.81622
430 4.295 1.95913 7.90581
431 4.305 1.91354 7.99372
432 4.315 1.86261 8.07969
433 4.325 1.8117 8.1637
434 4.335 1.76764 8.24604
435 4.345 1.73381 8.32718
436 4.355 1.70092 8.40715
437 4.365 1.66075 8.48559
438 4.375 1.61898 8.56241
439 4.385 1.57835 8.63764
440 4.395 1.5388 8.71132
441 4.405 1.49974 8.78346
442 4.415 1.46938 8.85446
443 4.425 1.43688 8.92421
444 4.435 1.40292 8.99261
445 4.445 1.36965 9.0597
446 4.455 1.34583 9.12591
447 4.465 1.31005 9.19065
448 4.475 1.28267 9.25433
449 4.485 1.2597 9.31714
450 4.495 1.22314 9.3784
451 4.505 1.19444 9.4385
452 4.515 1.17313 9.49778
453 4.525 1.14828 9.55606
454 4.535 1.12907 9.61362
455 4.545 1.10102 9.67
456 4.555 1.07065 9.72507
457 4.565 1.05052 9.77934
458 4.575 1.02587 9.83257
459 4.585 1.00315 9.88484
460 4.595 0.983491 9.93632
461 4.605 0.966269 9.98711
462 4.615 0.950305 10.0373
463 4.625 0.923933 10.0863
