LAMMPS data file via write_data, version 7 Aug 2019, timestep = 330034

500 atoms
1 atom types

-3.6223921491335304e+01 6.4123921491379988e+01 xlo xhi
-3.6223921491335304e+01 6.4123921491379988e+01 ylo yhi
-3.6223921491335304e+01 6.4123921491379988e+01 zlo zhi

Masses

1 83.798

Atoms # atomic

220 1 -3.2287308601557093e+01 -3.1941702980121711e+01 -3.3408256858872221e+01 1 2 -1
63 1 3.3414766309204417e+01 -3.3861890079144622e+01 -3.4709183677859862e+01 -3 1 -3
232 1 4.7969737114792878e+01 -2.9976398770082259e+01 -2.9729994250195482e+01 0 0 0
390 1 2.1801463386582896e+01 -1.8444411699550479e+01 6.2277196520847887e+01 1 1 -3
268 1 4.5083335812388441e+01 -1.0112327053444284e+01 -3.5103288744518764e+01 0 -1 0
313 1 3.7623592047517889e+00 -2.4454898463473840e+00 -3.1281247179422124e+01 1 1 1
22 1 -1.7075193410551023e+01 2.5357407719519620e+00 -3.1586518893268124e+01 0 -1 0
192 1 -4.0891524701796760e+00 -3.5614785623715086e+00 -3.0955942646687497e+01 -2 2 0
458 1 -4.3458460919742263e+00 -1.2611788685335292e+00 -3.4865687645595514e+01 2 -1 1
290 1 1.8988326799570817e+01 -1.9369557713584089e+00 -3.1054043259782691e+01 0 1 1
424 1 1.9929695447420595e+01 -5.9233897445757167e-01 -3.5077381241583403e+01 -1 1 1
285 1 -2.2969702083450823e+01 4.6583068546479707e+00 -3.4647608604849182e+01 0 0 1
438 1 2.2230847357570422e+01 5.6834671954722769e+00 -3.3773885003404686e+01 0 0 2
190 1 6.7596526423669721e+00 1.3171383709176714e+01 -3.3474466432883389e+01 1 0 1
289 1 1.3158171120918437e+01 1.0708452301705698e+01 -2.8746960134952904e+01 2 2 1
409 1 1.8723135407892016e+01 1.0728970803264501e+01 6.3201340174980807e+01 1 0 -2
434 1 5.2247306243611803e+01 1.8187422291180685e+01 -3.4006642380754776e+01 -1 -2 1
419 1 1.5636841059774403e+01 1.7974609159135930e+01 -3.0189763796142103e+01 1 -2 3
450 1 1.3739529138293252e+01 1.9918840751617168e+01 6.1518686909344275e+01 3 -2 -1
443 1 3.4504024881277807e+01 2.4902532086069630e+01 -3.3572453289532682e+01 0 0 3
230 1 4.7264632884400868e+01 2.6250469226224986e+01 -3.5005839173542569e+01 1 1 0
105 1 -1.7575595166953107e+01 2.9469764746674208e+01 -3.5349028971536647e+01 -1 -1 -1
188 1 -4.5073654061929279e-02 2.2568164393286974e+01 -3.3948698436214698e+01 0 1 1
247 1 5.9790066606343277e+00 2.6444399435554672e+01 -3.2000861046717993e+01 0 0 0
262 1 1.5905686623307496e+01 3.1254224472053782e+01 -3.5299313168833997e+01 1 -1 -2
280 1 -2.1439181832465291e+01 3.5656303110776342e+01 -3.2586571510604010e+01 -1 2 2
221 1 -2.3558588699968855e+01 4.1181430147116757e+01 -3.0641131289148962e+01 0 1 1
179 1 4.5560652710606618e+01 3.5232611355937586e+01 -3.1131675467230224e+01 0 0 1
120 1 6.2783234920667198e+01 3.8981667011537269e+01 -3.2135402155663847e+01 0 0 0
41 1 9.2979791534835528e+00 4.3983435236938362e+01 6.2131981613868888e+01 -2 0 -2
249 1 1.6286585189075225e+01 3.9781952663873405e+01 -3.4397875601731393e+01 1 -1 1
317 1 -3.0979361182376216e+01 4.6041514461200983e+01 -2.9055723649042811e+01 -1 0 1
127 1 3.1514764096688086e+01 4.9770911631183523e+01 -3.2988173666438541e+01 -1 0 0
259 1 4.6749944583435287e+01 4.5782714079086347e+01 -3.3963263550952433e+01 -1 0 3
176 1 2.4315679930648255e+01 -3.2404984121313390e+01 -3.4941767809002862e+01 1 0 1
318 1 7.6101219808908747e+00 -3.3342559445495354e+01 -2.3255000425978366e+01 1 -1 1
254 1 -3.4458928082893493e+01 -3.1245203053939793e+01 -2.8357340734417985e+01 -1 -1 0
40 1 -2.2858300995703505e+01 -2.3173943212518246e+01 -2.7623341265051437e+01 0 -1 0
161 1 -1.8253790427315721e+01 -2.7839266043588967e+01 -2.8405837818439096e+01 1 -1 1
396 1 2.1548585579791833e+01 -2.1406269939662788e+01 -3.5224228903941871e+01 0 2 1
474 1 -1.3533629929798458e+01 -2.0376808326334992e+01 -2.6695470206055418e+01 0 -1 3
48 1 6.2676194431418168e+01 -9.6189423256309894e+00 -2.9273801266474131e+01 -1 1 0
202 1 4.2586239326715031e+01 -1.2714765763883662e+01 -2.5259721119973715e+01 0 0 1
240 1 -3.2601544551475037e+01 -7.6171119398432952e+00 -3.0469830978696713e+01 1 -2 -1
324 1 -3.2341531986212551e+01 -8.0856069795045578e+00 -2.5171815260118951e+01 0 2 1
305 1 3.8981117000122076e+01 -1.6878100541157610e+00 -2.9336837932304579e+01 0 2 -1
88 1 1.0441577108835054e+01 7.4043197767162585e+00 -3.1288426776248247e+01 -1 0 -1
208 1 1.5347174057300531e+01 6.7482491245518013e+00 -2.6068338651956697e+01 -2 -1 2
300 1 4.6227363603406374e+01 2.7161285772132260e+00 -2.9298616785609227e+01 -1 -1 3
100 1 1.0434037312311455e+01 1.2987976919229856e+01 -3.1078777012491230e+01 1 0 -1
372 1 1.5189678580862241e+01 2.1259515531544274e+01 -2.2518640700473419e+01 -2 2 0
309 1 -2.2306048237813606e+01 4.4443621181125110e+01 -2.4224609502964466e+01 0 1 2
89 1 5.5424347713394049e+00 4.2743061760704443e+01 -2.9227885775934396e+01 -1 0 2
224 1 3.1001954146039367e+01 4.4982751985506795e+01 -2.8279439163800891e+01 0 1 -1
