damp,temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,temp25,temp26,temp27,temp28,temp29,temp30,temp31,temp32,temp33,temp34,temp35,temp36,temp37,temp38,temp39,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48,temp49,temp50,temp51,temp52,temp53,temp54,temp55,temp56,temp57,temp58,temp59,temp60,temp61,temp62,temp63,temp64,temp65,temp66,temp67,temp68,temp69,temp70,temp71,temp72,temp73,temp74,temp75,temp76,temp77,temp78,temp79,temp80,temp81,temp82,temp83,temp84,temp85,temp86,temp87,temp88,temp89,temp90,temp91,temp92,temp93,temp94,temp95,temp96,temp97,temp98,temp99,temp100
1007,0.95606665,0.9392683,1.0756554,1.2705948,1.2369521,1.330877,1.6151298,2.0477828,1.8508488,2.1917715,2.7629738,3.0960483,3.5390531,3.495108,3.960109,5.3522821,6.5091922,5.4060683,6.8083268,9.591764,10.696679,10.917947,12.011905,15.709539,17.51008,21.077305,23.249191,26.007095,30.171777,36.98983,42.903715,46.555408,57.091379,61.441564,71.488384,83.84671,95.459294,94.900199,104.69572,124.41637,139.31549,134.29748,136.36022,140.64878,138.36971,130.35931,122.52646,122.20359,111.34696,106.13221,110.92948,106.15611,110.5175,110.34892,121.71302,122.88909,128.38875,131.80725,130.43079,129.92643,131.10566,124.81672,117.32383,113.97999,116.44813,107.26488,115.15147,113.18531,115.39562,121.85482,123.08828,126.61153,126.29613,130.02372,130.1689,121.70828,125.04149,125.00566,118.31199,112.4741,112.48144,115.24404,111.1682,112.32553,123.304,120.84623,119.44627,132.22093,125.14021,125.88863,125.94576,116.90853,121.80308,119.23328,118.10553,119.93785,113.92625,113.97464,115.14991,113.38415,122.06447
1008,0.95606665,0.93919728,1.0754543,1.2702342,1.2364367,1.3301487,1.6140441,2.0460958,1.849065,2.189456,2.7595374,3.0916451,3.5334463,3.4892887,3.952851,5.3419244,6.4944418,5.3921823,6.7927772,9.567829,10.664406,10.883481,11.976175,15.658694,17.452928,20.999325,23.162543,25.905347,30.059014,36.841097,42.711059,46.364866,56.837647,61.201539,71.212215,83.509428,95.121514,94.537344,104.40721,124.08826,138.90732,134.34193,136.45216,140.6319,138.63494,130.07966,122.78443,122.3036,111.06771,106.13227,110.51261,105.9656,109.59317,109.84607,121.53986,120.72868,122.57505,135.95111,127.69011,136.56784,128.48812,126.46784,113.66604,106.98774,113.72086,108.75894,111.04807,114.88272,113.46076,117.15528,121.91285,126.07711,122.96033,129.14049,129.09208,125.46343,122.42152,119.0318,117.08047,111.57355,119.16605,109.63934,113.00975,112.70797,115.00115,119.56019,126.97885,125.3712,123.91017,129.2812,122.01507,126.77843,123.9987,116.69825,118.26121,119.59515,114.44947,110.00809,116.71202,113.30956,117.41655
1009,0.95606665,0.9391264,1.0752537,1.2698746,1.2359226,1.3294224,1.6129477,2.0444127,1.8472792,2.1871639,2.7561016,3.0872973,3.5278689,3.4834976,3.9456904,5.3316001,6.4799759,5.378326,6.7773744,9.5441587,10.632567,10.849285,11.940664,15.607851,17.395263,20.920627,23.075854,25.80538,29.94774,36.695634,42.519932,46.173153,56.590002,60.970851,70.93335,83.163285,94.787217,94.19011,104.182,123.81664,138.41513,134.37305,136.54464,140.54682,138.83219,129.83318,123.03052,122.07643,110.87024,106.84791,110.31717,106.29901,109.1083,108.65729,120.25504,119.17147,122.96738,137.13027,126.08212,135.58167,127.20685,124.97151,118.15951,117.07562,112.2658,113.76562,109.30178,103.82987,113.85785,117.42958,117.72317,125.45293,128.4929,131.15239,129.44328,130.80161,124.48677,118.87601,118.85939,116.30379,115.74563,109.7784,110.30577,110.25779,115.68398,119.21913,120.74041,132.30534,121.69751,121.3521,129.40612,126.03484,128.20805,119.1351,117.90789,115.73033,110.05771,107.18939,117.46566,112.94827,122.86802
1010,0.95606665,0.93905565,1.0750535,1.2695159,1.2354099,1.3286982,1.6118687,2.0427299,1.8454984,2.184852,2.7526988,3.0829292,3.5222867,3.4775833,3.9384775,5.3212595,6.4654788,5.36438,6.7617715,9.5203004,10.600928,10.815278,11.905799,15.55715,17.339464,20.843912,22.988849,25.704924,29.836433,36.547872,42.326915,45.98177,56.350136,60.730273,70.648147,82.827133,94.437121,93.827056,103.94035,123.54317,137.92687,134.40008,136.51652,140.45852,138.86921,129.81915,123.31874,121.81986,110.79245,107.33211,110.12438,106.33529,109.52447,108.08781,118.48294,118.55355,122.32627,136.05675,128.84629,129.04067,128.00152,125.63821,121.80225,117.60606,110.74435,112.07227,108.43375,109.94158,111.70075,114.43372,125.08481,128.03886,127.186,129.73153,131.15291,115.91104,129.78026,122.28255,115.52226,112.55817,113.75687,113.09325,116.77749,112.18338,117.09433,117.45737,119.33155,127.87396,127.6976,130.74344,132.78411,122.11702,124.50275,117.37538,114.31505,117.70309,111.28688,113.79031,116.90277,113.13741,116.76569
1011,0.95606665,0.93898503,1.0748538,1.2691581,1.2348986,1.327976,1.6107891,2.0410622,1.8437154,2.1825476,2.7492874,3.0786194,3.5167528,3.4717378,3.9313362,5.3109411,6.4510957,5.3505667,6.7460858,9.4966142,10.569415,10.781577,11.869787,15.506575,17.282919,20.767384,22.900696,25.604389,29.721913,36.402095,42.136516,45.784471,56.11078,60.483026,70.359301,82.487501,94.092733,93.502897,103.64868,123.28767,137.45253,134.4372,136.38098,140.41414,138.99732,129.83479,123.77907,121.79049,110.8911,108.14326,110.06271,105.70753,109.11206,109.31593,117.48353,119.78434,123.91013,129.81767,130.27737,128.99795,128.01679,124.27303,116.146,118.46451,111.86386,112.45012,112.25577,110.29183,109.87908,117.34017,122.05665,122.04608,128.16731,126.82458,127.04187,129.45498,119.61178,120.27513,122.45322,119.68728,113.00137,116.32308,108.55575,113.08979,113.7629,120.46739,120.30664,127.79289,124.42622,122.159,123.20024,130.5824,125.15577,120.17055,118.61567,115.31804,113.15722,111.47583,115.51218,114.3834,121.4989
1012,0.95606665,0.93891455,1.0746545,1.2688012,1.2343886,1.3272558,1.609714,2.0393912,1.8419477,2.1802189,2.745936,3.0743178,3.5113246,3.4659284,3.9243114,5.3006659,6.4367667,5.3372236,6.7309509,9.473437,10.538677,10.748429,11.834318,15.4578,17.227021,20.692578,22.813022,25.505527,29.610189,36.258628,41.952965,45.596764,55.867976,60.232861,70.07194,82.149706,93.755026,93.147119,103.43522,122.97868,136.98473,134.40916,136.36385,140.42499,138.98433,130.15887,124.15825,121.93585,110.96209,109.88097,110.14264,104.50394,108.7525,111.9901,117.28784,121.54504,122.85589,127.33172,134.03246,130.87831,130.31555,123.59096,118.77395,117.88439,114.85523,113.90487,109.58656,107.70859,113.56136,118.9809,117.37106,124.7184,121.77725,128.31001,129.25642,131.31574,125.4671,124.1472,117.34351,117.58758,116.24477,114.6728,108.24343,114.32327,120.40159,112.43772,121.03454,124.9539,126.17349,126.50423,126.334,126.299,124.54798,116.13325,119.34557,115.12771,111.88625,115.93526,117.24452,113.41675,113.7492
1013,0.95606665,0.93884421,1.0744557,1.2684452,1.2338799,1.3265375,1.6086405,2.0377293,1.840198,2.1779013,2.7426026,3.0700102,3.5058396,3.4601463,3.9173258,5.290431,6.4224872,5.3237318,6.7159879,9.4502381,10.507235,10.71485,11.800056,15.408272,17.171326,20.618713,22.725806,25.403655,29.495529,36.116482,41.768195,45.410692,55.62065,59.993449,69.792864,81.824179,93.418771,92.833983,103.18078,122.66465,136.49032,134.3386,136.25793,140.47136,138.91839,130.50217,124.53698,122.28835,111.15191,110.61594,110.42298,103.97106,108.23085,114.72231,116.50459,124.09575,121.27226,127.91019,132.90054,130.64601,129.01468,125.94145,118.21873,120.01402,117.37798,109.48381,111.81434,107.73732,111.40419,114.2804,117.01215,124.30419,128.52775,128.12001,125.91247,132.21257,125.6682,125.05566,116.21961,112.12366,117.33259,110.49784,111.5482,116.08245,115.32122,118.77397,122.14222,124.03693,124.74122,131.62465,122.06764,125.03262,126.86411,119.29084,117.62222,118.89833,114.01688,113.058,111.89602,117.95608,119.40197
1014,0.95606665,0.93877399,1.0742574,1.2680901,1.2333726,1.3258213,1.6075682,2.0360706,1.838449,2.1755838,2.7392872,3.0657203,3.5004044,3.454347,3.9103536,5.2802184,6.4082864,5.310286,6.701151,9.427382,10.476287,10.682283,11.765005,15.35995,17.115513,20.546663,22.640487,25.304021,29.381948,35.97189,41.58121,45.223997,55.377166,59.755902,69.508965,81.501828,93.056738,92.493979,102.91276,122.372,136.06061,134.33603,136.15642,140.4835,138.64887,131.04327,124.77459,122.61838,111.58228,111.03063,110.36922,103.44418,107.28167,114.93156,114.88111,126.62102,121.46414,127.25186,130.43108,129.3629,129.07764,124.61965,118.16966,115.64071,111.40931,111.10382,112.82132,112.4423,115.34989,112.1037,120.04037,123.38958,123.81946,127.21855,129.38306,127.75959,123.39524,123.94327,116.23573,117.32986,116.38944,116.54126,111.77933,117.70089,116.47816,119.06809,118.55713,123.08073,121.28554,128.94205,124.58857,123.38939,119.53207,122.27144,117.31669,117.00146,112.26022,112.592,115.44561,112.99471,119.63606
1015,0.95606665,0.93870391,1.0740594,1.2677359,1.2328666,1.325107,1.6065064,2.0344155,1.8366905,2.1732769,2.735937,3.0614651,3.4950041,3.4486733,3.9034638,5.270159,6.3942115,5.2968714,6.686555,9.4045497,10.445508,10.649638,11.730882,15.312031,17.05973,20.475263,22.555426,25.20559,29.268329,35.8284,41.391577,45.041639,55.137401,59.507115,69.224125,81.173419,92.692229,92.156834,102.62906,122.08832,135.5695,134.35669,135.97374,140.47153,138.72191,131.47486,124.9374,123.2141,111.83016,111.47813,110.16327,102.91864,106.69388,112.27746,114.78602,126.66172,121.1179,128.40147,128.43112,133.71946,131.21497,124.83131,119.60331,115.72645,114.79836,112.71772,110.52183,107.02119,109.65159,116.41228,120.12754,124.02273,126.1439,127.75126,129.89702,128.87864,127.02104,122.40904,121.14272,114.53353,112.7503,117.0658,115.21019,112.72023,110.10908,115.04597,118.32291,129.44908,125.87194,119.58915,130.4534,128.60228,121.13342,123.10065,115.89356,117.33821,112.52313,114.18946,117.27763,113.306,115.79035
1016,0.95606665,0.93863396,1.0738619,1.2673826,1.2323619,1.3243947,1.6054406,2.0327701,1.8349243,2.1709658,2.7325912,3.0572291,3.4895842,3.4429596,3.8965579,5.2601486,6.3800855,5.2836522,6.6715545,9.3816065,10.414817,10.616137,11.696273,15.264144,17.0039,20.40101,22.468847,25.110822,29.152789,35.684473,41.205667,44.854066,54.897149,59.266096,68.939619,80.851039,92.328489,91.829454,102.38631,121.79444,135.12894,134.2885,135.81414,140.44513,138.75877,131.8501,125.06985,123.76343,112.38567,111.51791,110.37542,103.68277,106.41578,108.90184,112.98562,126.50326,120.3977,129.85174,125.32413,132.83629,121.39433,130.10712,120.2831,117.78328,119.77934,109.45895,108.867,109.64717,114.98503,115.97217,116.66261,120.09097,121.93421,123.01267,128.81263,128.0267,126.19902,121.87664,120.70706,117.78648,111.83227,114.41988,109.46373,111.4448,119.75765,116.6855,124.80318,124.51289,123.92391,132.96167,132.35373,125.15651,126.03675,119.09514,122.47801,117.58688,109.77494,115.44665,112.67132,110.16642,114.56822
